Comment,Designator,Footprint,Quantity,Supplier and ref
100n,"C1,C4,C5",C_0805,3,
BC818-40,Q1,SOT-23,1,
10K,R2,R_0805,1,
30K,R6,R_0805,1,
470,"R1,R4,R5,R7,R11,R12",R_0805,6,
1K,"R3,R8,R9",R_0805,3,
510,R10,R_0805,1,
MAX7219,U3,SOIC-24W_7.5x15.4mm_Pitch1.27mm,1,Maxim MAX7219CWG
LED,"D2,D3",LED_0805,2,
PC817,U4,DIP-4_W7.62mm_SMD,1,
LD1117S50TR,U2,SOT-223-3Lead_TabPin2,1,
47u,"C2,C3",CP_Elec_6.3x5.3,2,
D,"D1,D4",D_SOD-123,2,
USB_OTG,J6,USB_Micro-B,1,
16MHz,Y1,Resonator_SMD-3pin_3213,1,muRata CSTCE16M0V5 4/5 
ATMEGA328P-AU,U1,TQFP-32_7x7mm_Pitch0.8mm,1,Atmel ATmega328P-AU
