# Ref     Package                            PosX     PosY      Rot Side 
C1        C_0805                          58.5310  16.1290   0.0000 top  
C2        C_0805                          60.9600  36.8300 270.0000 top  
C3        CP_Elec_6.3x5.3                 15.2400  16.5100  90.0000 top  
C4        CP_Elec_6.3x5.3                 35.5600  16.5100  90.0000 top  
C5        C_0805                          41.2750  16.5100  90.0000 top  
D1        D_SOD-123                       96.5200  19.0500 270.0000 top  
D2        LED_0805                       101.6000  19.0500  90.0000 top  
D3        D_SOD-123                      114.3000  24.1300 180.0000 top  
D4        LED_0805                        45.7200  13.9700 270.0000 top  
J6        USB_Micro-B                      3.8100  33.0200 270.0000 top  
Q1        SOT-23                         114.3000  13.9700   0.0000 top  
R1        R_0805                          96.5200  15.2400  90.0000 top  
R2        R_0805                          63.5000  36.8300  90.0000 top  
R3        R_0805                          84.7750  41.9100 180.0000 top  
R4        R_0805                          84.7750  31.7500   0.0000 top  
R5        R_0805                          17.7800  26.6700 180.0000 top  
R6        R_0805                         121.9200  26.6700   0.0000 top  
R7        R_0805                          84.7700  36.8300 180.0000 top  
R8        R_0805                          72.3900   4.9555  90.0000 top  
R9        R_0805                         101.6000  15.2400  90.0000 top  
R10       R_0805                         106.6800  22.8600   0.0000 top  
R11       R_0805                         114.3000  19.0500   0.0000 top  
R12       R_0805                          45.7200  19.0500  90.0000 top  
U1        SOIC-24W_7.5x15.4mm_Pitch1.27mm 71.1200  36.8300 180.0000 top  
U2        TQFP-32_7x7mm_Pitch0.8mm        69.8500  12.7000   0.0000 top  
U3        DIP-4_W7.62mm_SMD              106.6800  16.5100 270.0000 top  
U4        SOT-223-3Lead_TabPin2           25.4000  16.5100   0.0000 top  
Y1        Resonator_SMD-3pin_3213         61.0870   9.2710 270.0000 top  
## End                                                              
